Individuo,lnsalario,educ,edad,edad2,urban,soltero,casado,femenino
4601,"3,0937",5,40,1600,1,0,1,0
4602,"3,3814",10,37,1369,0,0,1,0
4603,"3,2861",12,35,1225,0,0,1,0
4604,"3,0813",16,24,576,1,1,0,1
4605,"3,2383",16,35,1225,1,0,1,0
4606,"3,3730",12,21,441,0,1,0,0
4607,"3,4684",16,29,841,1,1,0,1
4608,"2,6882",10,27,729,1,0,1,0
4609,"3,4555",10,44,1936,0,0,1,0
4610,"3,4365",5,30,900,0,0,1,0
4611,"3,7336",16,36,1296,1,0,1,0
4612,"3,6691",16,29,841,1,1,0,0
4613,"3,9348",10,32,1024,1,0,1,0
4614,"5,1534",16,40,1600,1,0,0,0
4615,"-1,4061",9,18,324,0,1,0,0
4616,"-1,4861",5,18,324,1,1,0,0
4617,"-0,9725",5,33,1089,0,0,1,0
4618,"-0,7129",5,40,1600,1,0,1,1
4619,"-0,0606",5,18,324,1,1,0,1
4620,"-0,5306",5,16,256,0,1,0,0
4621,"0,2610",5,38,1444,0,0,1,1
4622,"1,9055",5,20,400,1,0,1,1
4623,"0,9610",9,24,576,0,1,0,1
4624,"0,5192",5,50,2500,1,0,1,1
4625,"0,4841",12,25,625,1,1,0,0
4626,"-0,2595",5,14,196,1,1,0,1
4627,"0,7423",5,20,400,0,0,1,1
4628,"0,5482",9,40,1600,0,0,1,1
4629,"0,1625",12,28,784,0,1,0,0
4630,"-0,0030",12,18,324,1,1,0,0
4631,"2,3110",5,51,2601,1,0,1,1
4632,"0,8557",5,38,1444,0,0,1,1
4633,"0,8557",5,15,225,0,1,0,0
4634,"0,6459",5,20,400,0,1,0,1
4635,"0,5680",5,36,1296,1,0,1,0
4636,"0,5192",5,22,484,0,0,1,1
4637,"0,5192",5,14,196,0,1,0,1
4638,"0,4957",5,35,1225,1,0,0,1
4639,"0,3857",5,21,441,1,0,1,0
4640,"0,3650",5,55,3025,0,0,1,1
4641,"0,3056",12,43,1849,1,0,1,0
4642,"0,3056",5,16,256,1,1,0,1
4643,"0,2679",5,16,256,0,1,0,0
4644,"0,2315",5,41,1681,0,0,1,1
4645,"0,6444",5,56,3136,0,0,1,1
4646,"2,0596",5,18,324,1,1,0,0
4647,"1,2123",5,25,625,1,0,1,1
4648,"1,2123",5,42,1764,1,0,1,1
4649,"1,0788",5,30,900,1,0,1,0
4650,"1,0480",12,26,676,1,1,0,1
4651,"0,9610",16,22,484,1,1,0,0
4652,"0,9070",5,22,484,0,1,0,1
4653,"0,8810",9,14,196,1,1,0,1
4654,"0,6733",9,17,289,0,1,0,0
4655,"0,5933",12,33,1089,1,0,1,0
4656,"0,5556",5,15,225,0,1,0,0
4657,"0,4502",5,40,1600,1,0,1,1
4658,"0,7221",5,30,900,1,0,1,0
4659,"0,6044",5,22,484,0,1,0,0
